instance_id,canonical_smiles
CHEMBL3764246,Cc1ccc(cc1)C2CN(CCCSc3nnc(c4ccc(cc4)c5noc(C)n5)n3C)CCO2
CHEMBL260672,OC(=O)CN1C(=O)[C@@]2(CC(=O)N(Cc3cc(Cl)ccc3F)C2=O)c4cc(Cl)ccc14
CHEMBL2418212,Clc1ccccc1c2nc3ccc(nc3s2)N4CCCCC4
CHEMBL1534897,Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)C(=O)NCc3cccnc3
CHEMBL304778,CCOC(C(Oc1nc(OC)cc(OC)n1)C(=O)O)(c2ccccc2)c3ccccc3
CHEMBL3674855,COc1ccccc1C2C(C(=O)CC(C)C)C(=O)C(=O)N2c3ccc(cc3)c4onc(C)c4
CHEMBL3938270,COCCc1nc(c([nH]1)c2cc(ccc2C)C(=O)N3CC(C3)c4ccc(cc4)C#N)C(F)(F)F
CHEMBL3891769,C[C@@H]1N(CCc2c1nnn2c3ncc(F)cn3)C(=O)c4cccc(c4F)C(F)(F)F
CHEMBL3191865,C\C(=N/N1CCN(CC1)c2ccc(Cl)cc2)\c3cccc(c3)[N+](=O)[O-]
CHEMBL3920124,CC(N1C=C(C#N)C(=CC1=O)c2cc(Cl)ccc2C3CC3)C(=O)Nc4ccc(cc4)C(=O)O
CHEMBL248891,COCc1cccc2[nH]c(nc12)c3n[nH]c4ncc(cc34)c5cncc6ccccc56
CHEMBL237266,CC(C)C[C@@H](N)c1cccc(F)c1N2CCN(CC2)C(=O)[C@@H](Cc3ccc(Cl)cc3Cl)NC(=O)C
CHEMBL597984,Cn1nc(C(=O)NC2C[C@@H]3CCC[C@@H](C2)N3Cc4ccccc4)c5ccccc15
CHEMBL1378422,Oc1[nH]c2ccc(F)cc2c1N=Nc3ccccc3
CHEMBL422959,O=Cc1ccn(c1)C2CCN(Cc3ccccc3)CC2
CHEMBL3682865,COc1ccc(nc1c2ccc(Cl)cc2)C(=O)N[C@@H](CC(=O)O)c3ccc(C)cc3
CHEMBL1779596,O[C@H]([C@@H](O)C(=O)N1CCC[C@@H]1c2cccc(Cl)c2)C(=O)NCc3ccc(Cc4cccc(Cl)c4)s3
CHEMBL3299097,COc1ccccc1N2CCN(CCCCCCNC(=O)OC(C)(C)C)CC2
CHEMBL1336044,Clc1ccc(cc1)N2C(=O)C3C4CCCC4=C5CCCC5C3C2=O
CHEMBL2216818,NS(=O)(=O)c1ccc(cc1)N2C(SCC2=O)c3ccccc3
CHEMBL3943015,CCS(=O)(=O)CCn1ccc(Nc2ncc3CCc4nn(C)c(Cc5cccc(c5)c6cnn(C)c6)c4c3n2)n1
CHEMBL3701498,CN1C=Nc2cc(nc(NC3CC3)c2C1=O)c4ccc(nc4)n5cnc(C)c5
CHEMBL1831162,Fc1ccc(cc1)N2CCN(CCCCn3cc(c4ccccc4)c5ccccc35)CC2
CHEMBL396168,CN(C)C(=O)[C@H]([C@H](N)C(=O)N1CC[C@H](F)C1)c2ccc(cc2)N(C)C(=O)c3ccc(C)cc3.OC(=O)C(F)(F)F
CHEMBL3986393,O=C(NCCCCNC(=O)NCCOCCOCCNC(=O)Nc1cccc(O[C@@H]2[C@H](Cc3ccccc23)N4CCCCC4)c1)NCCOCCOCCNC(=O)Nc5cccc(O[C@@H]6[C@H](Cc7ccccc67)N8CCCCC8)c5
CHEMBL1465513,Cc1ccc(cc1)S(=O)(=O)NNC(=O)C(=O)NNS(=O)(=O)c2ccc(C)cc2
CHEMBL2172162,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OCC(=O)N3CCC[C@H]3c4nc(C)c[nH]4)n(n2)c5ccccc5
CHEMBL1351832,CC(=O)c1ccc(NC(=O)C2(CCOCC2)c3ccccc3)cc1
CHEMBL3827058,COc1ccc(cc1)C2=Cc3cc(OCCCN(C)Cc4cccc(OC(=O)NCCCCCc5ccccc5)c4)ccc3OC2=O
CHEMBL1767266,COc1cccc(CC(=O)Nc2sccc2C(=O)N)c1
CHEMBL1567494,OC1(C(=O)N(Cc2ccccc2)c3ccccc13)c4c[nH]c5ccccc45
CHEMBL3688471,Nc1cnc(cn1)c2ccc(cc2F)c3ccccc3S(=O)(=O)N[C@H](CO)c4ccccc4
CHEMBL522211,O=C(N[C@H]1C[C@@H]1c2ccccc2)N3CCC4(CC3)CCc5ncccc5O4
CHEMBL420997,Cn1cnc(n1)c2ccc3c(c2)c(cn3c4ccc(F)cc4)C5CCN(CCC#N)CC5
CHEMBL3685473,Cn1cc(NC(=O)c2nc(ccc2Nc3cncnc3)C4CC4)c(n1)C(=O)N5CCNC(=O)C5
CHEMBL1909985,Cc1nc2C(=O)N(Cc3ccccc3)Cc2c(c1CN)c4ccc(Cl)cc4Cl
CHEMBL3084551,COC(=O)N[C@@]1(C[C@H]2CC[C@@H](C1)N2C(c3ccccc3Cl)c4ccccc4Cl)c5ccccn5
CHEMBL1445754,CN1C[C@@H]2C(c3ccc(cc3)C(F)(F)F)C4(CC2(C4)[C@H]1c5ccccc5)c6ccc(cc6)C#N
CHEMBL217750,ONC(=O)c1ccc(s1)c2cccs2
CHEMBL1453859,Fc1ccccc1CSc2ccccc2c3nnc(NC(=O)Nc4ccccc4F)s3
CHEMBL1392565,COc1ccccc1OCCCn2cc(C=O)c3ccccc23
CHEMBL1329920,COC(=O)c1cc(NC(=O)c2ccccc2F)cc(c1)C(=O)OC
CHEMBL3910171,Nc1ncc(cc1c2ccc(C(=O)N[C@H](CO)c3cccc(Cl)c3)c(F)c2)C4CC[S+]([O-])CC4
CHEMBL191078,O[C@@H]1CCN(CCN(C(=O)Nc2ccc(F)c(Cl)c2)c3ccc(cc3)c4cccc(c4)C#N)C1
CHEMBL574077,COC(=O)[C@H]1COC(=N1)c2cccc(OC(=O)NC3CCCCC3)c2
CHEMBL2322891,Cc1c(Cl)c(nn1CC(=O)N2CCN(CC2)c3ccc(Br)cc3)C(F)(F)F
CHEMBL568419,COc1ccc(C(=O)Nc2nncs2)c(OC)c1
CHEMBL4071988,COC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(=O)c2noc(c3cc(C(C)C)c(O)cc3O)c2c4ccc(CN5CCOCC5)cc4
CHEMBL4093111,CC1(C)OB(OC1(C)C)c2ccccc2NC(=O)c3ccc(Oc4ccc(cc4)C(F)(F)F)nc3
CHEMBL234614,CCCC[C@@H]1CN(CC[C@H]1N)c2ccc3ccccc3c2
CHEMBL490297,Fc1ccc(cc1)c2ccc(COc3cccc(NC(=O)C4CCNCC4)c3)cc2
CHEMBL72337,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)NCc3ccccc3
CHEMBL1337290,OCCN1CCN(CC1)c2ncnc3sc4CCCCc4c23
CHEMBL3234040,Cl.CC1=CC2CC(C1)c3c(C2)nc4cc(Cl)ccc4c3NCc5ccc(CNC(=O)c6cc(O)c7C(=O)c8c(O)cccc8C(=O)c7c6)cc5
CHEMBL44712,Cc1nc(C)c(s1)c2ccnc(Nc3cccc(Cl)c3)n2
CHEMBL41818,NCCc1cc(O)c(O)cc1F
CHEMBL252493,CCCN(CCC)c1c(C)nc(c2c(C)cc(C)cc2OCCN3CCN(C)CC3)c4ccccc14
CHEMBL203926,Nc1c(cnn1c2ccc(F)cc2F)C(=O)c3cccc(c3)c4cccnc4
CHEMBL54535,ONC(=O)CN(Cc1ccc(cc1)[N+](=O)[O-])C(=S)NC(=O)c2ccccc2
CHEMBL3675449,CN(C)CCC(Nc1ncnc2c(cccc12)C(=O)N)c3cccc(NC(=O)c4ccc(cc4)C(F)(F)F)c3
CHEMBL1956865,Cc1cc(C)c2cccc(OCc3c(Cl)ccc(c3Cl)S(=O)(=O)NC4(CCOCC4)C(=O)N5CC[N+]6(CCCCC6)CC5)c2n1.[O-]C(=O)C(F)(F)F
CHEMBL1453868,COc1ccccc1NS(=O)(=O)c2cc(NC(=O)Nc3ccccc3)ccc2N4CCCCC4
CHEMBL3679576,COC(=O)C1=C(CNC(=O)c2ccc(cc2)c3nnn(C)n3)C(=O)c4ccc(nc4N1c5ccccc5)C(F)(F)F
CHEMBL1599015,Cc1ccc2nc(O)c(CN(Cc3occc3)S(=O)(=O)c4c(C)ccc5nsnc45)cc2c1
CHEMBL1445504,Cc1csc(NC(=O)c2oc(COc3ccccc3)cc2)n1
CHEMBL479345,OC(=O)[C@H](Cc1ccc(cc1)n2c(nc3cccnc23)C4COCCN4)NC5=C(Br)C(=O)C56CCCCC6
CHEMBL3688371,CN(C)CCNc1ccc(Nc2c(cnc3ccc(nc23)c4cc(F)c(O)c(Cl)c4)C(=O)C)cn1
CHEMBL451250,CC(C)[C@@H]1NC(=O)[C@@H](CC(=O)N)NC(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](Cc3ccc(OP(=O)(O)O)cc3)NC(=O)[C@H](CCCCNC(=O)[C@H]4CCCN4C1=O)NC(=O)C
CHEMBL603704,[O-][N+](=O)c1ccc(OC(=O)N2CCN(Cc3cc(cs3)c4ccccc4)CC2)cc1
CHEMBL159273,CCc1noc(n1)C2=CCCN(C)C2.OC(=O)C(=O)O
CHEMBL1516047,Cc1ccnc(NC(=O)c2oc3ccccc3c2)c1
CHEMBL389508,Cc1cccc(C)c1N2C(=O)Nc3c2ncnc3c4ccccc4Cl
CHEMBL198272,CCOc1cc(cnc1Nc2cccc(C)n2)c3ccccc3C#N
CHEMBL3648196,Cc1cc(cnn1)C(=O)N2C[C@H](c3ccc(Cl)cc3)[C@@](C)(COc4ccc(Cl)cn4)C2
CHEMBL2087495,CNc1ncc(cn1)c2nc(N3CCOCC3)c4nc(CN5CCN(CC5)S(=O)(=O)C)cn4c2Cl
CHEMBL85216,O=C1C=COc2cc(OCCCN3CCC=C(C3)c4ccccc4)ccc12
CHEMBL3652902,N[C@@H]1CC[C@H](CC1)Nc2ncc(Cl)c(n2)c3cccc(NCc4cccc(F)c4)n3
CHEMBL199550,NC(=O)Nc1cccc(NC(=O)Nc2ncccc2OCc3ccccc3)c1
CHEMBL577925,Oc1cccc(c1)c2ccc(s2)c3cc(F)c(O)c(F)c3
CHEMBL196611,Brc1ccc(NC(=O)O[C@@H]2C3CCN(CC3)[C@@H]2Cc4ccsc4)cc1
CHEMBL341510,NC(=N)c1cccc(N[C@H](C(=O)Nc2ccc(cc2)N3CCCCC3=O)c4ccccc4)c1
CHEMBL3644235,CCc1nn(Cc2nc(C)cs2)c3cccc(NC(=O)c4cnc5cc(OCCN6CCN(C)CC6)ccn45)c13
CHEMBL62964,CC(=O)N[C@@H]([C@H]1CCN(C1=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO
CHEMBL186841,COCC(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ccccc3CNCCc4cccs4
CHEMBL3703106,NC1(CCC1)c2ccc(cc2)c3nc4cc(ccn4c3c5ccccc5)c6ccccn6
CHEMBL1561557,COc1ccc(cc1)C(=O)NNC(=O)c2ccccc2[N+](=O)[O-]
CHEMBL3265231,O\N=C/1\C(=C/2\C(=O)Nc3c(F)cccc23)\Nc4ccccc14
CHEMBL3961553,OC[C@@H](Nc1ncnc2oc(cc12)c3ccc(O)cc3)c4ccccc4
CHEMBL1595987,[O-][N+](=O)c1ccc(Cl)c(CN2CCCCCC2)c1
CHEMBL2179501,Cc1cc(nc(OCCCn2c3CCCCc3c4cc(ccc24)c5onc(C)n5)n1)C(F)(F)F
CHEMBL4073924,O=C1N(Cc2cccc(c2)c3ccccc3)C=Nc4sc5CC(CCc5c14)NC6CCCC6
CHEMBL3649753,O=C1Nc2cc(CN3CCCCC3)ccc2C4=C1CCCN4
CHEMBL1951900,CCN(C1CCN(CCC(N2CCC(C)CC2)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
CHEMBL3661621,CC(CO)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C#N)c2)c4cncnc14
CHEMBL410247,Fc1ccc(c(F)c1)C2(Oc3cc(F)c(cc3O2)S(=O)(=O)N4CCOCC4)c5ccc(F)cc5F
CHEMBL123071,OC(=O)C1=Cc2cc(ccc2CC1=O)[N+](=O)[O-]
CHEMBL1310244,CSc1nc(nc(O)c1C#N)c2ccc(Cl)cc2Cl
CHEMBL2261355,CCS(=O)(=O)Nc1cccc2[C@@H](CCCc12)c3c[nH]cn3
CHEMBL1607953,Cc1onc(c2ccccc2Cl)c1C(=O)Nc3nnc(s3)c4cccc(c4)[N+](=O)[O-]
CHEMBL3764099,Cc1ccn(n1)c2cc(Cl)ccc2[C@@H](Oc3cc(nc(N)n3)N4CCC5(CCC(N5)C(=O)O)CC4)C(F)(F)F
CHEMBL101788,Clc1cccc(CN2CC[C@H](N(CCN3CCNCC3)Cc4cncn4Cc5ccc(cc5)C#N)C2=O)c1
CHEMBL1773327,O=S(=O)(N1CCOCC1)c2ccc(cc2)c3ccnc(NC4CCNCC4)n3
CHEMBL2407661,O=C(NCc1ccccc1)[C@@]2(Cc3ccccc3)OC(=O)N(Cc4ccccc4)C2=O
CHEMBL3659925,COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(nc34)N5CCN(C)CC5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C
CHEMBL1163914,CCc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(CCOCC#C)cc2Cl)cc1
CHEMBL100598,CCCCc1nc(cn1Cc2ccc(cc2)c3ccccc3c4nn[nH]n4)c5nc(C)ccc5C(=O)OC
CHEMBL1473302,CCOc1ccc(CNC(=O)CN2C(=O)c3cccn3c4ccc(F)cc24)cc1
CHEMBL1401730,COC(=O)c1ccc(Cl)cc1NC(=O)NCCc2c(C)nn(C)c2C
CHEMBL1611054,COc1ccc(cc1)c2nc3ccc(cc3nc2c4ccc(OC)cc4)C(=O)NCc5ccc(C)cc5
CHEMBL1774491,CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4COc5ccc(cc35)C(=O)O)CC2)N(C)C1=O
CHEMBL354561,CC12NC(Cc3ccccc13)c4ccc(Br)cc24
CHEMBL3729007,CC(O)CN1C[C@@H]2[C@H](C1)[C@H]2c3cc(nc(n3)C4CC4)c5cnc(N)c(OC(F)F)c5
CHEMBL3920842,Oc1ccc(cc1)C2CCN(CC2(F)F)C3CCN(Cc4ccc(F)c(F)c4)C3=O
CHEMBL3693027,CC(C)(CO)NS(=O)(=O)c1ccccc1c2ccc(c(F)c2)c3cnc(N)nc3
CHEMBL126174,OCc1ccc(CN2CCC(Cc3ccccc3)CC2)c(NC(=O)Nc4cccc(c4)C#N)c1
CHEMBL3964279,Nc1nn2cccnc2c1C(=O)Nc3cn(CC(=O)N4CCC(CO)CC4)nc3c5cc(Cl)ccc5OC(F)F
CHEMBL1372417,Fc1ccc(cc1)N2CCN(CC2)C(=O)c3ccncc3
CHEMBL3678122,CC(C)c1cccc(c1)[C@H](C)NC(=O)c2ccc3c(c2)c(C)c(C)n3Cc4ccc(O[C@@H](C)C(=O)O)cc4
CHEMBL3742001,Brc1ccc(cc1)C(=O)N2CCN(CC2)C3=CC(=O)NC(=O)N3Cc4ccc(OS(=O)(=O)c5cccc6cnccc56)cc4
